CustomerID;Gender;Senior_Citizen;Partner;Dependents;Tenure_Months;Phone_Service;Multiple_Lines;Internet_Service;Online_Security;Online_Backup;Device_Protection;Tech_Support;Streaming_TV;Streaming_Movies;Contract;Paperless_Billing;Payment_Method;Monthly_Charges;Total_Charges;Churn_Label;Churn_Value;Churn_Reason
5262;Male;No;No;No;;Yes;Yes;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;56,25;969,85;No;0;
5148;;;No;Yes;;Yes;No;DSL;Yes;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;60,6;1297,8;No;0;
6693;Male;No;No;No;;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);20,05;95,55;No;0;
4097;Male;No;Yes;Yes;;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;Two year;Yes;Credit card (automatic);65,65;3566,7;No;0;
1416;Male;Yes;No;No;;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,45;1200,15;Yes;1;Competitor offered more data
4181;Female;Yes;Yes;No;;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;No;Bank transfer (automatic);78,45;5682,25;No;0;
407;;No;No;No;;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;45,85;45,85;Yes;1;Attitude of support person
6036;Male;No;No;No;;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);25,05;852,7;No;0;
57;Male;No;No;No;;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;54,4;114,1;Yes;1;Price too high
1965;;No;Yes;Yes;;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,85;62,9;No;0;
1019;Female;No;No;No;;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,2;2983,8;Yes;1;Service dissatisfaction
3635;Male;No;No;No;;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;105,3;550,6;No;0;
2391;Male;No;Yes;No;;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);85,15;6316,2;No;0;
2342;Female;No;No;No;;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,7;406,95;No;0;
1159;Male;No;No;No;;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;78,5;242,05;Yes;1;Long distance charges
87;Male;No;Yes;No;68;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;One year;Yes;Bank transfer (automatic);75,8;5293,95;Yes;1;Service dissatisfaction
1562;Female;Yes;No;No;14;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;78,95;1101,85;Yes;1;Competitor made better offer
794;;No;Yes;;71;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);108,6;7690,9;Yes;1;Product dissatisfaction
2964;Female;No;No;No;56;;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;106,8;5914,4;No;0;
2687;Female;No;Yes;No;69;;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);24,25;1641,8;No;0;
4042;;No;Yes;No;53;;Yes;Fiber optic;No;Yes;No;Yes;No;Yes;One year;No;Bank transfer (automatic);97,75;5043,2;No;0;
5937;Female;No;;No;55;;Yes;Fiber optic;Yes;No;Yes;No;No;No;One year;Yes;Credit card (automatic);84,25;4589,85;No;0;
5837;;No;No;No;4;;No;DSL;No;No;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;61,3;249,4;No;0;
3510;Female;Yes;Yes;No;70;;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);104,45;7349,35;No;0;
